-0.46,0.436,9.787
-0.369,0.426,9.73
-0.393,0.378,9.754
-0.421,0.397,9.826
-0.378,0.45,9.85
-0.417,0.402,9.778
-0.431,0.364,9.802
-0.417,0.373,9.792
-0.445,0.412,9.778
-0.445,0.45,9.768
-0.388,0.345,9.768
-0.402,0.417,9.826
-0.407,0.378,9.807
-0.46,0.383,9.787
-0.441,0.412,9.773
-0.474,0.441,9.716
-0.421,0.407,9.816
-0.455,0.431,9.792
-0.464,0.393,9.768
-0.469,0.46,9.778
-0.46,0.393,9.807
-0.46,0.378,9.783
-0.412,0.364,9.845
-0.417,0.378,9.831
-0.407,0.383,9.826
-0.45,0.393,9.816
-0.464,0.354,9.74
-0.421,0.412,9.807
-0.421,0.412,9.797
-0.474,0.412,9.749
-0.464,0.407,9.816
-0.464,0.383,9.754
-0.426,0.445,9.84
-0.455,0.388,9.792
1.087,0.546,9.907
-0.498,0.402,9.811
